SignalTime,Instrument,Direction,Score,Strike,EntryPrice,ExpiryPrice,ExpiryTime,Result,Spread_pips,MAE_pips,MFE_pips
2026-06-06 20:45:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-06 21:45:01,INVALID,0.0,0.0,0.0
2026-06-06 20:45:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-06 21:45:01,INVALID,0.0,0.0,0.0
2026-06-06 23:00:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 00:00:01,INVALID,0.0,0.0,0.0
2026-06-06 23:00:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 00:00:01,INVALID,0.0,0.0,0.0
2026-06-07 01:00:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 02:00:01,INVALID,0.0,0.0,0.0
2026-06-07 01:00:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 02:00:01,INVALID,0.0,0.0,0.0
2026-06-07 03:15:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 04:15:01,INVALID,0.0,0.0,0.0
2026-06-07 03:15:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 04:15:01,INVALID,0.0,0.0,0.0
2026-06-07 05:15:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 06:15:01,INVALID,0.0,0.0,0.0
2026-06-07 05:15:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 06:15:01,INVALID,0.0,0.0,0.0
2026-06-07 07:15:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 08:15:01,INVALID,0.0,0.0,0.0
2026-06-07 07:15:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 08:15:01,INVALID,0.0,0.0,0.0
2026-06-07 09:30:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 10:30:01,INVALID,0.0,0.0,0.0
2026-06-07 09:30:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 10:30:01,INVALID,0.0,0.0,0.0
2026-06-07 11:30:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 12:30:01,INVALID,0.0,0.0,0.0
2026-06-07 11:30:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 12:30:01,INVALID,0.0,0.0,0.0
2026-06-07 13:45:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 14:45:01,INVALID,0.0,0.0,0.0
2026-06-07 13:45:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 14:45:01,INVALID,0.0,0.0,0.0
2026-06-07 16:00:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 17:00:01,INVALID,0.0,0.0,0.0
2026-06-07 16:00:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 17:00:01,INVALID,0.0,0.0,0.0
2026-06-07 18:15:01,EURCAD,SELL,-10,9,1.60507,0.00000,2026-06-07 19:15:01,INVALID,0.0,0.0,0.0
2026-06-07 18:15:01,EURGBP,SELL,-10,9,0.86336,0.00000,2026-06-07 19:15:01,INVALID,0.0,0.0,0.0
2026-06-07 23:15:00,EURCAD,SELL,-8,9,1.60295,1.60586,2026-06-08 00:15:00,LOSS,1.5,29.7,4.6
2026-06-08 00:15:00,USDCHF,BUY,+10,9,0.79680,0.79650,2026-06-08 01:15:00,LOSS,1.5,3.0,3.8
2026-06-08 00:15:01,USDJPY,BUY,+7,9,160.32800,160.25300,2026-06-08 01:15:01,LOSS,1.5,7.9,2.6
2026-06-08 02:45:00,AUDJPY,BUY,+6,9,113.08300,113.01000,2026-06-08 03:45:00,LOSS,1.5,27.7,12.1
2026-06-08 02:45:00,AUDUSD,BUY,+7,9,0.70545,0.70487,2026-06-08 03:45:00,LOSS,1.5,19.9,7.3
2026-06-08 04:15:00,GBPUSD,SELL,-7,9,1.33322,1.33345,2026-06-08 05:15:00,LOSS,1.5,10.5,1.3
2026-06-08 04:15:00,USDCHF,BUY,+9,9,0.79771,0.79739,2026-06-08 05:15:00,LOSS,1.5,4.2,2.2
2026-06-08 09:45:00,GBPCHF,BUY,+7,11,1.06360,1.06298,2026-06-08 10:45:00,LOSS,1.5,7.0,3.1
2026-06-08 11:00:00,USDCHF,BUY,+8,9,0.79808,0.79804,2026-06-08 12:00:00,LOSS,1.5,2.5,5.5
2026-06-08 12:45:00,AUDUSD,BUY,+7,9,0.70605,0.70698,2026-06-08 13:45:00,WIN,1.5,4.2,17.3
2026-06-08 13:15:00,EURGBP,SELL,-7,9,0.86326,0.86370,2026-06-08 14:15:00,LOSS,1.5,5.6,0.5
2026-06-08 23:45:00,EURCAD,BUY,+7,16,1.60874,1.60909,2026-06-09 00:45:00,WIN,1.5,7.8,4.8
2026-06-09 01:30:02,USDCAD,BUY,+7,14,1.39558,1.39552,2026-06-09 02:30:02,LOSS,1.5,1.1,3.1
2026-06-09 07:45:00,GBPNZD,SELL,-9,36,2.28920,2.28954,2026-06-09 08:45:00,LOSS,1.5,13.4,26.7
